Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
2021,"Fernando Tatis Jr.","SDP",125,412,362,102,47,22,0,33,76,76,45,3,117,2,3,0,3,21,3,0.28176796,19709
2021,"Josh Rojas","ARI",132,402,354,92,57,25,3,7,47,31,43,1,96,0,3,0,6,5,4,0.25988701,19734
2021,"Shohei Ohtani","LAA",139,415,339,86,39,16,3,28,68,66,73,15,120,2,1,0,6,19,10,0.25368732,19755
2021,"Abraham Toro","2 Tms",89,253,227,53,35,7,0,11,30,38,20,0,33,4,2,0,2,6,2,0.23348018,19844
2021,"Luis Rengifo","LAA",47,131,122,24,18,1,0,5,13,14,6,0,26,1,1,1,2,1,0,0.19672131,19858
2021,"Pavin Smith","ARI",136,396,364,101,64,24,3,10,50,30,29,1,75,3,0,0,9,1,0,0.27747253,19892
2021,"Gavin Sheets","CHW",54,160,142,38,19,8,0,11,22,32,15,0,32,2,1,0,4,0,0,0.26760563,19901
2021,"Jesus Sanchez","MIA",59,175,157,39,22,6,1,10,21,28,15,2,52,2,1,0,1,0,1,0.24840764,19913
2021,"Daulton Varsho","ARI",88,225,202,46,24,12,2,8,30,27,22,2,51,0,0,1,2,4,0,0.22772277,19918
2021,"Andres Gimenez","CLE",65,172,152,34,22,8,0,4,19,13,9,0,46,7,3,1,1,9,0,0.22368421,19950
2021,"Gavin Lux","LAD",92,283,250,65,45,10,4,6,42,41,29,3,59,3,1,0,2,3,1,0.26,19955
2021,"Carter Kieboom","WSN",58,161,144,32,23,6,0,3,19,12,13,1,48,2,2,0,6,0,0,0.22222222,19958
2021,"Bobby Dalbec","BOS",110,263,241,51,23,12,2,14,33,39,17,0,91,5,0,0,2,2,0,0.21161826,19966
2021,"Santiago Espinal","TOR",65,147,130,37,26,8,1,2,21,10,15,0,19,1,0,1,2,4,1,0.28461538,19997
2021,"Keston Hiura","MIL",49,138,119,22,10,8,1,3,11,14,9,0,52,7,1,2,5,2,0,0.18487395,20003
2021,"Luis Robert","CHW",66,228,212,68,45,15,1,7,29,27,10,0,48,4,2,0,3,6,1,0.32075472,20043
2021,"Juan Soto","WSN",140,416,309,103,69,13,2,19,75,60,105,17,51,0,2,0,15,9,6,0.33333333,20123
2021,"Dylan Carlson","STL",143,481,419,102,62,23,4,13,57,46,45,2,120,11,6,0,4,2,1,0.24343675,20126
2021,"Brandon Marsh","LAA",63,179,159,40,24,11,3,2,20,16,17,0,61,2,1,0,3,6,1,0.25157233,20202
2021,"Alex Kirilloff","MIN",55,160,147,35,22,7,1,5,14,23,11,2,37,1,1,0,3,1,1,0.23809524,20325
2021,"Luis Garcia","WSN",69,181,172,38,20,11,2,5,23,15,9,1,31,0,0,0,7,0,1,0.22093023,20391
2021,"Jazz Chisholm Jr.","MIA",117,357,325,82,52,13,3,14,52,40,27,0,95,2,2,1,2,18,7,0.25230769,20454
2021,"William Contreras","ATL",48,148,131,29,18,4,1,6,13,20,15,1,39,1,1,0,2,0,0,0.22137405,20503
2021,"Nick Madrigal","CHW",54,152,141,39,30,6,3,0,24,16,7,0,13,3,1,0,1,1,1,0.27659574,20521
2021,"Trevor Larnach","MIN",75,211,178,43,28,10,0,5,20,20,25,0,70,7,1,0,1,1,0,0.24157303,21501
2021,"Jonathan India","CIN",146,472,394,102,58,24,2,18,76,55,53,0,113,20,4,1,8,9,1,0.25888325,21523
2021,"Alec Bohm","PHI",106,280,259,59,47,9,0,3,26,28,19,0,75,0,2,0,9,4,0,0.22779923,21618
2021,"Akil Baddoo","DET",111,353,315,86,48,19,6,13,49,44,36,1,89,0,2,0,4,17,4,0.27301587,22168
2021,"Jarred Kelenic","SEA",86,234,206,39,18,8,1,12,28,30,24,0,66,3,1,0,2,6,3,0.18932039,22558
2021,"Wander Franco","TBR",65,198,183,46,30,10,3,3,30,23,13,0,27,2,0,0,0,1,1,0.25136612,23667
2021,"Ryan Jeffers","MIN",75,194,178,33,16,7,1,9,15,22,12,0,72,4,0,0,5,0,1,0.18539326,24618
2021,"Andrew Vaughn","CHW",118,328,298,66,47,12,0,7,32,31,20,0,69,5,5,0,9,1,1,0.22147651,26197
2021,"Yoshi Tsutsugo","3 Tms",73,192,164,33,18,9,0,6,23,23,26,0,51,1,0,1,2,0,0,0.20121951,27459
2021,"Shogo Akiyama","CIN",77,152,137,27,20,7,0,0,13,11,9,1,35,3,1,1,1,2,2,0.19708029,27461
2021,"Ha-Seong Kim","SDP",98,208,186,36,23,5,2,6,22,20,15,0,50,3,2,2,4,6,0,0.19354839,27506
