Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
2021,"Carter Kieboom","WSN",41,88,73,13,10,0,0,3,7,8,12,1,14,3,0,0,3,0,0,0.17808219,19958
2021,"Taylor Trammell","SEA",32,60,51,5,2,2,0,1,4,4,6,0,26,1,0,2,0,0,0,0.09803922,19960
2021,"Bobby Dalbec","BOS",90,190,176,49,26,9,3,11,17,39,11,1,65,2,1,0,1,0,0,0.27840909,19966
2021,"Santiago Espinal","TOR",54,99,92,32,27,5,0,0,11,7,7,0,11,0,0,0,2,2,0,0.34782609,19997
2021,"Luis Robert","CHW",33,68,63,25,12,7,0,6,13,16,4,1,13,1,0,0,1,0,0,0.3968254,20043
2021,"Juan Soto","WSN",116,238,193,54,37,7,0,10,36,35,40,6,42,2,3,0,8,0,1,0.27979275,20123
2021,"Dylan Carlson","STL",70,138,123,42,29,8,0,5,22,19,12,0,32,0,2,1,1,0,0,0.34146341,20126
2021,"Brandon Marsh","LAA",42,81,77,20,19,1,0,0,7,3,3,0,30,0,0,1,0,0,0,0.25974026,20202
2021,"Alex Kirilloff","MIN",37,71,68,19,12,4,0,3,9,11,3,0,15,0,0,0,0,0,0,0.27941176,20325
2021,"Luis Garcia","WSN",35,66,64,19,11,7,0,1,6,7,2,0,12,0,0,0,1,0,1,0.296875,20391
2021,"Jazz Chisholm Jr.","MIA",72,150,139,33,21,7,1,4,18,13,7,0,50,2,1,1,1,5,1,0.23741007,20454
2021,"Nick Madrigal","CHW",32,63,59,22,15,4,1,2,6,5,4,0,4,0,0,0,2,0,1,0.37288136,20521
2021,"Trevor Larnach","MIN",47,90,82,15,11,2,0,2,9,8,6,0,34,1,1,0,2,0,0,0.18292683,21501
2021,"Jonathan India","CIN",81,159,138,41,28,10,0,3,22,14,18,1,28,3,0,0,5,3,2,0.29710145,21523
2021,"Alec Bohm","PHI",66,137,121,35,25,6,0,4,20,19,12,0,36,2,2,0,3,0,0,0.2892562,21618
2021,"Akil Baddoo","DET",59,108,98,21,19,1,1,0,11,11,9,0,33,0,1,0,1,1,0,0.21428571,22168
2021,"Taylor Walls","TBR",33,70,61,14,11,3,0,0,6,6,9,0,18,0,0,0,0,3,1,0.2295082,22458
2021,"Jarred Kelenic","SEA",65,143,131,22,15,5,0,2,13,13,12,0,40,0,0,0,3,0,1,0.16793893,22558
2021,"Alejandro Kirk","TOR",29,60,51,16,10,2,0,4,8,11,6,0,6,2,1,0,3,0,0,0.31372549,22581
2021,"Wander Franco","TBR",47,110,98,35,21,8,2,4,23,16,11,0,10,0,1,0,2,1,0,0.35714286,23667
2021,"Ryan Jeffers","MIN",47,99,89,20,12,3,0,5,13,13,10,0,36,0,0,0,1,0,0,0.2247191,24618
2021,"Owen Miller","CLE",35,85,81,16,12,2,0,2,4,9,4,0,25,0,0,0,4,2,0,0.19753086,24655
2021,"Andrew Vaughn","CHW",69,141,119,32,14,10,0,8,24,17,21,0,32,1,0,0,5,0,0,0.26890756,26197
2021,"Yoshi Tsutsugo","3 Tms",40,70,66,17,11,3,1,2,4,9,3,0,21,0,1,0,1,0,1,0.25757576,27459
2021,"Ha-Seong Kim","SDP",54,90,81,18,9,7,0,2,5,14,7,1,21,1,1,0,2,0,1,0.22222222,27506
